 Flow Duration
Bwd Packet Length Max
Bwd Packet Length Min
Bwd Packet Length Mean
Bwd Packet Length Std
Flow Packets/s
Flow IAT Mean
Flow IAT Std
Flow IAT Max
Fwd IAT Std
Fwd IAT Max
Bwd IAT Max
Fwd Header Length
Bwd Header Length
Min Packet Length
Max Packet Length
Packet Length Mean
Packet Length Std
Packet Length Variance
SYN Flag Count
PSH Flag Count
URG Flag Count
CWE Flag Count
Down/Up Ratio
Average Packet Size
Avg Bwd Segment Size
Fwd Header Length.1
Fwd Avg Packets/Bulk
Bwd Avg Bytes/Bulk
Bwd Avg Packets/Bulk
Subflow Fwd Bytes
Subflow Bwd Packets
Init_Win_bytes_forward
min_seg_size_forward
Active Min
Idle Mean
Idle Std
Idle Max
Idle Min
